Lieferant;Name des Lieferanten;Straße;Lnd;PLZ;Ort;Gruppe;Suchbegriff;S;SF;LöVm;CPD-Konto;EkOr;Bezeichnung;ZBed;IncTm;Inco. 2;S_1;L;MindWert;Währ.;Verkäufer;Telefon;EkOr_2;Anzahl
65021;LA Laseranalytik GmbH;Schillerstraße 10a;DE;64319;Pfungstadt;1;LASERANALY;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
65058;SOLVENT WISTOL S.A.;ul. Chemikow 1;PL;32-600;Oswiecim;1;WISTOL;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
65069;Reichelt Chemietechnik GmbH & Co.;Englerstr. 18;DE;69126;Heidelberg;1;REICHELT;;;;;1000;Zentraleinkauf;198;UN;;;;0;EUR;;;;1
65071;Hawker GmbH;Dieckstr. 42;DE;58089;Hagen;1;HAWKER;;;;;1000;Zentraleinkauf;;;;;;0;EUR;;;;1
65090;Inotec GmbH;Waldshuter Str. 25;DE;79761;Waldshut-Tiengen;1;INOTEC;;;;;1000;Zentraleinkauf;198;UN;;;;0;EUR;;;;1
65099;xxx ISP Global Technolog. Deutschl.;Emil-Hoffmann-Str. 1a;DE;50996;Köln;1;(L) ISP;X;99;;;1000;Zentraleinkauf;39;CIP;frachtfrei unversichert;X;;0;EUR;;;;1
65100;Klöckner Polypur Chemie GmbH;Vinckeweg 15;DE;47119;Duisburg;1;KLÖCKNER;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
65101;xxx CONDEA Chemie GmbH;Überseering 40;DE;22297;Hamburg;1;(L) CONDEA;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
65102;TCI GmbH;Am Knick 9;DE;22113;Oststeinbeck;1;TCI;;;;;1000;Zentraleinkauf;1;EXW;;;;0;EUR;;;;1
65103;xxx UPM Handelsgesellschaft mbH;Billstrasse 28;DE;20539;Hamburg;1;(L) UPM;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
65110;KONICA MINOLTA Sensing Europe B.V.;Kastenbauerstraße 2;DE;81677;München;1;KONICA MIN;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
65123;Wachsfabrik Segeberg GmbH;Asternweg 11;DE;23795;Bad Segeberg;1;WACHSFABRI;;;;;1000;Zentraleinkauf;1;DDP;;;;0;EUR;;;;1
65139;IVB Industrievertretung;Gartenstr. 12;DE;36132;Eiterfeld;1;INDUSTRIEV;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
65167;Aero Consultants AG;Grabenstr. 8;CH;8606;Nänikon / Uster;1;AERP;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
65188;ABB Automation Products GmbH;Am Neuländer Gewerbepark 8;DE;21079;Hamburg;1;ABB;;;;;1000;Zentraleinkauf;67;CIP;Hamburg;;;0;EUR;;;;1
65209;xxx Wacker Chemie AG;Sophienstr. 41;DE;70178;Stuttgart;1;(L) WACKER;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
65214;ZMK-Analytik GmbH;Filmstraße 7;DE;6766;Bitterfeld-Wolfen;1;ZMK;;;;;1000;Zentraleinkauf;31;EXW;;;;0;EUR;;;;1
65217;Dieter Bendfeldt Ing.;Hegholt 53a;DE;22179;Hamburg;1;BENDFELDT;;;;;1000;Zentraleinkauf;67;;;;;0;EUR;;;;1
65221;Wacker & Anders;Jacobsenweg 2;DE;22525;Hamburg;1;WACKER;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
